id,author,title,genre1,genre2
1,ကျော်ဝင်း,စာအုပ်များနှင့် နှစ်ပေါင်းများစွာ,Article,Literature
2,ဗိုလ်မှူးဘရှင်,ယိုးဒယားမြန်မာစစ်,History,History
3,ဟိန်းလတ်,ဖိနပ်သရဲ,Translation,Biography
4,ဟိန်းလတ်,စတားဘတ် သို့မဟုတ် ကော်ဖီသရဲ,Translation,Biography
5,ညီညီထက်ခိုင်,ဒီဇိုင်း အမှတ် ၁၀၄,Article,"Art, Design"
6,ရီလွင်,ကာနယ်ဆန်ဒါစ် ကန်တပ်ကီကြက်ကြော်နှင့် KFC,Translation,Biography
7,ချမ်းမြေ့ဝင်း,ဂရုမစိုက်ခြင်းအနုပညာ,Translation,motivation
8,သင့်လူ,သက်တော်ရာကျော်ရှည်စေသော်ဝ်,Translation,Fiction
9,သင့်လူ,သက််တော်ရာကျော် ထပ်ကာရှည်စေသာ်ဝ်,Translation,Fiction
10,သင့်လူ,နှစ်ခေတ်တစ်ယောက်,Translation,Fiction
11,သင့်လူ,အိုဘယ့်အစိမ်းတို့မြေ,Translation,Biography
12,သင့်လူ,ကယ်တင်ရှင်,Translation,Fiction
13,သင့်လူ,သားသတ်လွတ််သမ,Translation,Fiction
14,သင့်လူ,လက်မရွံ့အန်ဒါ,Translation,Fiction
15,သင့်လူ,ကျားဖြူ,Translation,Fiction
16,သင့်လူ,ခွေးသေတစ်ခု အရင်းပြု,Translation,Fiction
17,ညီပုလေး,မြေးသူကြီး,Biography,Biography
18, ကျော့မောင်(မင်္ဂလာတောင်ညွှန့်),ဂျက်ဖ်ဘေဇော့စ်,Translation,Biography
19,အာဒကေ (ဇော်မင်း ၈၈),တစ်ချိန်တုန်းကသူငယ်ချင်းများအကြောင်း,Article,"Biography, History"
20,ကြေးမုံဉီးသောင်း (အောင်ဗလ),ဘီလူးတို့ရွာ,Article,"Biography, History"
21,ပါမောက္ခ ခင်မောင်ဝင်း (အသည်း),အမေနဲ့ကျွန်တော်,Biography,Biography
22,ချမ်းမြေ့ဝင်း,တစ််+တစ်=သုံး,Translation,motivation
23,မြူပါးရ်,ရှင်သန်ရဲရဲ,Article,Biography
24,မြေမှုန်လွင်,အန်ဒါဂရောင်း,Travelling,"Travelling,Foreign"
25,ချမ်းမြေ့ဝင်း,မျှော်လင့်ခြင်းဖတ်စာ,Translation,motivation
26,ဝင့်ပြုံးမြင့်,၁၉၈၄,Translation,Fiction
27,မောင်သိန်းဇော်,နှှင်းရည်စက်လက်+ရှုမျှော်ခင်း ၂၁,poem,poem
28,လင်းခါး,ရေသေအိုင်,Fiction,Fiction
29,ရဲငွေစိုး,အစီအစဉ်မဲ့ခရီးသွား,Travelling,"Travelling,Foreign"
30,ကိုညီညီ(တောင်ကြီး),အဘယ့်ကြောင့် အမေရိကား,Article,"Article, Foreign"
31,ကိုညီညီ(တောင်ကြီး),ဒါဖတ်ထားပြီးမှသွားသင့်တဲ့ အမေရိကား,Article,"Article, Foreign"
32,ကိုညီညီ(တောင်ကြီး),‌ခေတ္တ အမေရိကား ဆောင်းပါး ၁၀၀,Article,"Article, Foreign"
33,ကလောင်စုံ,ရှင််မဟာသီလဝံသ,Article,Literature
34,ကျေော်ရင်မြင့်,သုံးသိန်းတန်စကားပိုင်ရှင် ဖောင်းတောဘုရင်မ,Article,Biography
35,ဇော်သက်ထွေး,အင်စိန်ထောင်အတွင်းမှ လူမိုက်ကြီးများ,Article,Biography
36,ဗြိတိသျှကိုကိုမောင်,ဘောနတ်ကြီး ရဲဘက်စခန်းမှ လူမိုက်ကြီးများ,Satire,Satire
37,အောင်သင်း,မျိုးဆက်သစ်တိုးတက်ရစ်ဖို့,Article,motivation
38,မန်မြင့်၊ ဝင်းဖေ၊ ဂျူး,ထိုသုံးဉီး ဤကိုးပုဒ်,Fiction,Satire
39,နန္ဒာသိန်းဇံ,ထေရဝါဒနှင့် ပတ်သက်သောမှတ်ချက်များ,Article,Religion
40,ဘိုးလှိုင်,ခေးအောစ့်,Article,Science
41,မင်းနိုင်ထွန်း,လူသား အတိတ် ပစ္စုပ္ပန်နဲ့ အနာဂတ်,Translation,"History, Human"
42,ကိုတာ,ရယ်ရွှင်ဖွယ်နှင့် အခြားစာတမ်းများ,Article,Essay
43,ကလောင်စုံ,မြန်မာကာတွန်းပေါင်းချုပ်,cartoon,cartoon
44,မင်းသုဝဏ်,ပုံပြင်များ,Story,Story
45,တက္ကသိုလ် ကြယ်ပွင့်,ကွမ်တမ်သီအိုရီ,Article,Science
46,တက္ကသိုလ် ကြယ်ပွင့်,ကွမ်တမ်သီအိုရီ,Article,Science
47,"ဘိုးလှိုင်, ကိုတာ",စတီဖင်ဟော့ကင်း အက်ဆေးများ,Translation,Essay
48,ကျော််ဇေယျာ (ပုသိမ်),စတီဖင််ဟော့ကင်း အချိန်၏သမိုင်းအကျဉ်း,Translation,Science
49,ဘဂျမ်း,ဟာသရသ ကာတွန်းနှင့် ဝတ္ထု စုစည်းမှု,cartoon,cartoon
50,နုယဉ်,နုယဉ်ပုံပြင်ပေါင်းချုပ်,Story,Story
51,ကလောင်စုံ,ရှုမဝပုံပြင်ပေါင်းချုပ်,Story,Story
52,လူခါး,မြန််မာပြည်အပြင်ဘက်,Fiction,Fiction
53,မောင်သာနိုး,ထင်းရှူးပင်ရိပ်,Translation,poem
54,မောင်သာနိုး,မြန်မာ့စကားနဲ့စာပေ,Article,Literature
55,မြင့်မိုးအောင်,အမဲလိုက်အက,poem,poem
56,မြင့်မိုးအောင်,ဖန်ခွက်အလွတ်,poem,poem
57,ကလောင်စုံ,မြို့တွေ ရွာတွေ ကဗျာတွေ,poem,poem
58,လူထုဒေါ်အမာ,မညီမျှသေးသော တိုးတက်ခြင်းနှင့် အခြားဆောင်းပါးများ,Article,Knowledge
59,မောင်သာနိုး,ဝေဖန်ရေးနှင့်ကျွန်တော် အပါအဝင် ဆောင်းပါးများ,Article,Literature
60,သိမ်းတင်သား,ကပေါက်တိ ကပေါက်ချာ စတေးတပ်(စ်) ဋီကာ,Article,Article
61,ကလောင်စုံ,အောက်မေ့ဖွယ် ဟာသဝတ္ထုများ ၄,short story,Fiction
62,ကလောင်စုံ,အောက်မေ့ဖွယ် ဟာသဝတ္ထုများ ၃,short story,Fiction
63,ဇော်ဂျီ,ဗေဒါလမ်း ကဗျာများ,poem,poem
64,မြဇင်,ကဗျာ့နရီနှင့် နိမိတ်ပုံ,Article,poem
65,မောင်ခင်မင်(ဓနုဖြူ),ကဗျာ့သဘောတရား ကဗျာလေ့လာချက်,Article,poem
66,မောင်စွမ်းရည်,မန္တလေးမြို့ရဲ့မနက်ခင်း,poem,poem
67,ကလောင်စုံ,ခေတ်ပေါ်ကဗျာဆရာ ၁၀,poem,poem
68,ဖေမြင့်,နှလုံးသားအာဟာရ,Translation,motivation
69,ဖေမြင့်,နှလုံးသားအာဟာရ,Translation,motivation
70,ဖေမြင့်,နှလုံးသားအာဟာရ (တတိယတွဲ),Translation,motivation
71,ကလောင်စုံ,ဉာဏ်ကြီးသူကအောင်နိုင်ခြင်းနှင့် ပညာဆိုင်ရာဆောင်းပါးများ,Article,Literature
72,မြသန်းတင့်,လက်ဖက်ရည်ဆိုင်,Fiction,Fiction
73,ကောင်းသန့်,ချစ်သူ့ကဗျာ,poem,poem
74,ကလောင်စုံ,မဂ္ဂဇင်းကဗျာ ကက်ရွေးစင် (၁၉၉၇),poem,poem
75,ကလောင်စုံ,စာပေဂျာနယ်ကဗျာများ,poem,poem
76,အောင်ဝေး,ခေတ််ပေါ်ကဗျာ ဘာလဲ ဘယ်လဲ,Article,poem
77,မောင်စိန်ဝင်း (ပုတီးကုန်း),လက်ရွေးစင်ကဗျာများ,poem,poem
78,အောင်ဝေး,မြင်းကုန်းနှီးပေါ်ရွက်လွင့်,poem,poem
79,မောင်စွမ်းရည်,အနီနှင့်အပြာ ကဗျာများ,poem,poem
80,တင်မိုး,ပုံဂံကျောင်းကခေါင်းလောင်းသံ,poem,poem
81,မင်းလူ,ဉီးမင်းလူကောင်းမှု မင်းလူကဗျာစု,poem,poem
82,အောင်ချိမ့်,အသည်းစွဲကဗျာဆရာ,poem,poem
83,အောင်ချိမ့်,ဆေးရှူတဲ့မောင်,poem,poem
84,ဇော်ဂျီ,ကဗျာပေါင်းချုပ်,poem,poem
85,တင််မိုး,ကန္တာရနှစ်များ,poem,poem
86,မင်းသုဝဏ်,ကဗျာပေါင်းချုပ်,poem,poem
87,ဉီးသော်ဇင်,ကဗျာလမ်းညွှန်,poem,poem
88,ကဗျာ့စွယ်စုံ ဉီးထွန်းရွှေ,အခြေပြုကဗျာဖွဲ့နည်း,Article,poem
89,ကလောင်စုံ,မိုးဝေကဗျာများ,poem,poem
90,အောင်ဝေး,လက်ရွေးစင်ကဗျာများ (၁၉၈၂-၈၈),poem,poem
91,အောင်ချိမ့်,ပုံပြောသူ,poem,poem
92,ကလောင်စုံ,ရေနီမြောင်းတေးသံ ကဗျာများ,poem,poem
93,ညွှန့်ဝေ (ကသာ),ရင်မှဆင်းသော မြစ်တစ်စင်း,poem,poem
94,တင်မိုး,လှေတစင်းနှင့်သီချင်းသည်,poem,poem
95,မောင်သွေးသစ်,တတိယမျက်လုံး,poem,poem
96,ဖေမြင့်,ဘေဘီလုံမှာအချမ်းသာဆုံးပုဂ္ဂိုလ်,Article,motivation
97,မင်းသုဝဏ်,မောင်ခွေးနှင့်မထွေးဖို့ကဗျာများ,poem,poem
98,ဉီးတင့်ဝင်းနိုင်,နိုင်ငံတကာစကားပုံ အဘိဓာန်,Dictionary,"Dictionary, Proverbs"
99,သာလွန်,ဆေးပညာရပ်ဆိုင်ရာ အိတ်ဆောင် အဘိဓာန်,Dictionary,"Dictionary, Medical"
100,မောင်သာနိုး,ခေတ်ပေါ်ကဗျာဆရာလက်စွဲ,Article,poem
101,မိုးမြင့်မောင်,ဒဿနပန်းခင်း (တတိယတွဲ),Proverbs,Knowledge
102,ခေးလု,ဒီဂျစ်တယ်ဓာတ်ပုံပညာ အနှစ်ချုပ်,Article,Knowledge
103,ကာတွန်းမောင်စိန်,နံရံပေါ်မှရုပ်ပြောင်များ,cartoon,cartoon
104,ကာတွန်းမောင်စိန်,စာမဲ့ကာတွန်းများ,cartoon,cartoon
105,အောင်ချိမ့်,မင်းကအောင်ချိမ့်လား,poem,poem
106,ပညာရေးဝန်ကြီးဌာန,မြန်မာစာအနုပညာဆိုင်ရာကိုယ်ပိုင်အမည်များ အဘိဓာန်,Dictionary,"Dictionary, Name"
107,ပြန်ကြားရေးဝန်ကြီးဌာန,နိုင်ငံရေးစာပေစာတမ်းများ (ပထမတွဲ),Article,Politics
108,ပြန်ကြားရေးဝန်ကြီးဌာန,နိုင်ငံရေးစာပေစာတမ်းများ (ဒုတိယတွဲ),Article,Politics
109,ပညာရေးဝန်ကြီးဌာန,မြန်မာစကားပုံ,Proverbs,Knowledge
110,ပညာရေးဝန်ကြီးဌာန,မြန်မာစာ မြန်မာစကား,Article,Literature
111,မာန်မြင့်,မြန်မာပြည်တွင်လုပ်သည် ဒုကြိမ်,short story,"Fiction, Satire"
112,ပါပီယွန်,မက္ကဇင်ပါပီ ရဲ့ ထရော်မာများ,short story,Fiction
113,မင်းလူ,ဂန္တဝင်အိပ်မက်,Fiction,Fiction
114,မြောင်းမြသခင်တင်,ဟာသရသ ကဗျာများ,Article,poem
115,လူထုဒေါ်အမာ,ရွှေရိုး ဘကလေး,Biography,Biography
116,လှသမိန်,မြန်မာစကားပုံ အဓိပ္ပာယ်နှင့်သုံးနည်း,Proverbs,Knowledge
117,မင်နီရှဲယ်,ဆရာဝန်မှတ်တမ်းနှင့်  ပြည်ပအတွေ့အကြုံ ဆောင်းပါးများ,Article,"Article,Foreign"
118,ခင်မောင်သန်း(စိတ်ပညာ) ဒေါက်တာကေသီနိုင်,လူ့ဘဝအစမှအဆုံးတိုင် မြန်မာတို့၏ဓလေ့ထုံးစံများ,Tradition,Knowledge
119,ဝင်းကိုကို,အိတ်ဆောင်် ပုဂံဘုရားဖူးလက်စွဲ,Travelling,"Travelling,Religion"
120,ပတ္တမြားခင်,ကင်မရာကိုင်ခဲ့ရသော ကျွန်မဘဝ,Biography,Biography
121,ကျော်ရင်မြင့်,အောင်မြင်ရေးဖြတ်လမ်းနည်း ,Article,motivation
122,ဂျူး,ကြေမွသွားသော တိမ်တိုက်များအကြောင်း,Fiction,Fiction
123,သာထက်အောင်,သူတို့ဆီက ကျွန်တော့်အတွေ့အကြုံ,Article,"Article, Foreign"
124,အံ့မောင်,လိုက်ကြမလား ပုဂံဘုရားဖူးနှင့် အခြားဆောင်းပါးများ,Travelling,"Travelling,Religion"
125,ဇာနည်ဇေယျ,အီးတီပြောတဲ့ အိပ်မက်ထဲက ကောင်မလေး,Fiction,Fiction
126,ဇာနည်ဇေယျ,အိပ်မက်မြို့ကလူ,Fiction,Fiction
127,တင့်လွင်ကျော်ဖြိုး(စလင်း),ပျော်ချိန်ပျော် မော်ချိန်မော် တော်ချိန်တော်နှင့် အခြားဝတ္ထုတိုများ,short story,Fiction
128,မောင်ဝဏ္ဏ,ကျွန်တော်အူကြောင်ကြား,Article,Article
129,သက်ဝေ,ဒေါက်တာအောင်မျိုး အင်တာဗျူး,Interview,"Interview, Politics"
130,သိမ်းတင်သား,အာလာပသလ္လာပ,Article,Article
131,စစ်ထက်အောင်,ငွေဘုံငွေနန်းသို့,Fiction,Fiction
132,လူထုဒေါ်အမာ,၁၂ ပွဲဈေးသည်နှင့် ကျွန်မတို့အညာ,Article,Article
133,ကမ္ဘာလှည့် တင်တင်စိန်,ပြောပြစမ်းချင် အင်္ဂလန်တစ်ခွင်,Travelling,"Travelling,Foreign"
134,အောင်အေး (ရန်ကုန်တက္ကသိုလ်),ဘိန်းဘုရင် ခွန်ဆာ ကိုခြေရာခံခြင်း,Translation,Biography
135,ထောင်မှူးကြီးသိန်းဝင်း,မြန်မာနိုင်ငံအကျဉ်းထောင်များ၏ နောက်ခံသမိုင်း,Article,History
136,ဇော်တင်,မြန်မာပြည်က ရော့ခ် သူပုန်များ,Article,"Biography, Music"
137,မောင်ခင်မင်(ဓနုဖြူ),ရေဒီယိုနားက တစ်ဖဝါးမခွာသူတစ်ယောက်၏ရင်ထဲကသီချင်းများအကြောင်း,Article,"Biography, Music"
138,ကိုဖြိုး,ဒစ်ဂျစ်တယ်မားကတ်တင်း လုပ်ငန်းခွင်စီမံခန့်ခွဲမှု,Article,Management
139,လင်္ကာရည်ကျော်,ကြိုးကြာတောင်ပံခတ်သံ,Fiction,Fiction
140,စည်သူအောင်,ဆိုရှည်မီဒီယာဈေးကွက်,Translation,Management
141,အတ္တကျော်,တောသားလည်း ဟုတ်နိုင်ပေါင်ခင်ရယ်,Travelling,"Travelling,Foreign"
142,မြတ်ငြိမ်း,ဆပ်ပြာပူဖောင်းထဲက ဘဝ,Translation,Biography
143,ဝင်းမြတ်ထွန်း,ခွေေးလိမ္မာဖြစ်အောင် ကိုယ်တိုင်လေ့ကျင့်ပေးနည်း,Hobby,Knowledge
144,စိုးသိဏ်း,သူလျှိုတစ်ယောက်၏ခရီးရှည်,Translation,Biography
145,ရွှေကူမေနှင်း,အနိုင်ရသူများ,Translation,Biography
146,ကျော်ထက်ထွန်း,အမေရိကန် သူကြွယ်ကြီးများ,Translation,Biography
147,စိုးသိဏ်း,အရိပ်စစ်သည်တော်,Translation,Biography
148,အောင်စည်သာ,သင့်လုပ်ငန်းကို facebook မှာထိထိရောက်ရောက်ကြော်ငြာနိုင်ဖို့နည်းလမ်း,Translation,Management
149,မောင်သာရ,ယုန်နဲ့အတူပြေး ခွေးနဲ့အတူလိုက်,Fiction,Fiction
150,မောင်သာချို,ဒါလားနိုင်ငံတော်သမ္မတ,Article,Article
151,လင်္ကာရည်ကျော်,သားသို့ ...,Article,"Article, Letters"
152,ဖေလင်းသစ်,ဟောဒီလောကီ,short story,"Fiction, Satire"
153,သာထက်အောင်,ယန်စီအလှ၊ ဗီးဂတ်စ်ညနှင့် ကောင်းကင်မပြာသောမြို့ပြများ,Travelling,"Travelling,Foreign"
154,မြင့်ဇော်ဇော်,ဝိုင်းတွန်းတိုင်းလည်း မရွှေ့ပါနှင့် အခြားဆောင်းပါးများ,Article,Management
155,ဒေါက်တာ ဖြိုးမင်းထွန်း,အလွယ်ကူဆုံး အရိုးရှင်းဆုံး Bitcoin နှင့် Cryptocurrency များအကြောင်း,Financial market,Knowledge
156,မန်းတင်,ကိုဖိုးလုံး,short story,"Fiction, Satire"
157,မွန်ဟော်စီ,စိတ်ကို အဆိပ်ထုတ်ခြင်း,Article,motivation
158,မောင်လွင်မွန် (ကသာ),စောရဘဏ္ဍအိတ် သော့ပိတ်ခဲ့သူများ,History,"History, Politics"
159,မင်းကောင်းချစ် (မန္တလေး),ဗမာ့နိုင်ငံရေး ကသောင်းကနင်းများ,Translation,"History, Politics"
160,ထက်ရဲနိုင်,မုဒုံသားများရဲ့ ဆုံကြ ကြုံရ ဤဘဝ,Biography,Biography
161,ကိုရင်ဩ ကိုရင်ထိုက်,ဂျင်းရှပ် မိုးကောင်းရွှေကျောင်းမှသည် အိုးဘိုထောင်ဆီသို့,Article,Biography
162,ဉီးလှဝင်း (လေတစ်ရဲတစ်ဉီး),ကျွန််တော့အတွေး ကျွန်တော့အမြင်များ,Article,Article
163,ပုညခင်,အထက်တန်းစား ရေ,Fiction,Fiction
164,သိန်းဖေမြင့်,ဖြစ်ဖျားဧရာရောင်စုံဖြာ,Travelling,Travelling
165,မြင့်မိုရ်ဆွေ,သမ္မတကြီး မင်းအိုချမ်းသာ ဖြစ်မည်လော,Article,Article
166,လင်းခါး,ဖန််ပုလင်းထဲက အသည်းကွဲပုစဉ်းပျံ,Fiction,Fiction
167,ကျော်ခိုင်စိုး,ပရိုဂရမ်မာ ဆော့ဖ်ဝဲအင်ဂျင်နီယာမှ ကွန်ပျူတာသိပ္ပံပညာရှင်သို့,Article,Science
168,ပါမောက္ခ ရဲမြင့်ကျော် (ဒေါက်တာရဲ),လူငယ်တွေဖတ်စေချင်သည့်ကျွန့်တော့်ဆောင်းပါးများ,Article,Article
169,မစန္ဒာ,ဝတ္ထုတိုများ ၄,short story,Fiction
170,မစန္ဒာ,ဝတ္ထုတိုများ ၈,short story,Fiction
171,မစန္ဒာ,ဝတ္ထုတိုများ ၉,short story,Fiction
172,မစန္ဒာ,ဝတ္ထုတိုများ ၃,short story,Fiction
173,မစန္ဒာ,ဂျိန်းဂျိန်း ဂျုတ်ဂျုတ် ဂျိန်းဂျုတ်ဂျုတ်,Fiction,Fiction
174,ကံချွန် အော်ပီကျယ် ဝင်းအောင် စောမင်းဝေ,ပြည်တွင်းဖြစ်ကာတွန်းများ,cartoon,cartoon
175,မြတ်ဝေတိုး,အဇီး ခေါ် ဇိုင်ဝါးသွေးချင်းများ,Biography,Biography
176,တင်ဆွေမိုး,နိပွန်ဟာသများ,Comedy,Comedy
